Loan_ID,Customer_ID,ApplicantIncome,CoapplicantIncome,Property_Area,Loan_Status,Customer_Criteria,Interest_Rate,loanamount,loan_amount_term,cibil_score,cibil_score_status,monthly_interest_amount,annual_interest_amount,Customer_ID,Customer_name,Gender,Age,Married,Education,Self_Employed,Loan_Id,Region_id,Customer_id,Load_ID,Customer_name,Region_id,Postal_Code,Segment,State,Region,Region_Id
LP001003,IP43002,4583,1508,Rural,N,Low_Class_Customer,3.0%,128,360,920,High_Cibil_Score,0,4,IP43002,"Darrin Van Huff",Male,66,Yes,Graduate,No,LP001003,13.2,IP43002,LP001003,"Darrin Van Huff",13.2,90036,Corporate,California,West,13.2
LP001013,IP43007,2333,1516,Urban,Y,Low_Class_Customer,5.0%,95,360,650,Penalty_Customer,0,5,IP43007,"Harold Pawlan",Male,45,Yes,"Not Graduate",No,LP001013,13.3,IP43007,LP001013,"Harold Pawlan",13.3,76106,"Home Office",Texas,North,13.3
LP001024,IP43011,3200,700,Urban,Y,Low_Class_Customer,5.0%,70,360,143,Penalty_Customer,0,4,IP43011,"Ken Black",Male,48,Yes,Graduate,No,LP001024,13.3,IP43011,LP001024,"Ken Black",13.3,68025,Corporate,Nebraska,North,13.3
LP001032,IP43016,4950,0,Urban,Y,Low_Class_Customer,5.0%,125,360,477,Penalty_Customer,1,6,IP43016,"Matt Abelman",Female,51,No,Graduate,No,LP001032,13.3,IP43016,LP001032,"Matt Abelman",13.3,77095,"Home Office",Texas,North,13.3
LP001034,IP43017,3596,0,Urban,Y,Low_Class_Customer,5.0%,100,240,888,No_Penalty,0,5,IP43017,"Gene Hale",Male,20,No,"Not Graduate",No,LP001034,13.3,IP43017,LP001034,"Gene Hale",13.3,75080,Corporate,Texas,North,13.3
LP001036,IP43018,3510,0,Urban,N,Low_Class_Customer,5.0%,76,360,387,Penalty_Customer,0,4,IP43018,"Steve Nguyen",Male,27,No,Graduate,No,LP001036,13.3,IP43018,LP001036,"Steve Nguyen",13.3,77041,"Home Office",Texas,North,13.3
LP001038,IP43019,4887,0,Rural,N,Low_Class_Customer,3.0%,133,360,371,Penalty_Customer,0,4,IP43019,"Linda Cazamias",Male,64,Yes,"Not Graduate",No,LP001038,13.3,IP43019,LP001038,"Linda Cazamias",13.3,60540,Corporate,Illinois,North,13.3
LP001041,IP43020,2600,3500,Urban,Y,Low_Class_Customer,5.0%,115,0,537,Penalty_Customer,0,6,IP43020,"Ruben Ausman",Male,66,Yes,Graduate,NULL,LP001041,13.2,IP43020,LP001041,"Ruben Ausman",13.2,90049,Corporate,California,West,13.2
LP001043,IP43021,7660,0,Urban,N,Middle_Class_Customer,7.0%,104,360,534,Penalty_Customer,1,7,IP43021,"Erin Smith",Male,40,Yes,"Not Graduate",No,LP001043,13.2,IP43021,LP001043,"Erin Smith",13.2,32935,Corporate,Florida,West,13.2
LP001046,IP43022,5955,5625,Urban,Y,Middle_Class_Customer,7.0%,315,360,903,High_Cibil_Score,2,22,IP43022,"Odella Nelson",Male,23,Yes,Graduate,No,LP001046,13.3,IP43022,LP001046,"Odella Nelson",13.3,55122,Corporate,Minnesota,North,13.3
