Loan_ID,Customer_ID,ApplicantIncome,CoapplicantIncome,Property_Area,Loan_Status,Customer_Criteria,Interest_Rate,loanamount,loan_amount_term,cibil_score,cibil_score_status,monthly_interest_amount,annual_interest_amount,Customer_id,Load_ID,Customer_name,Region_id,Postal_Code,Segment,State
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43001,LP001002,"Claire Gute",13.2,42420,Consumer,Kentucky
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43036,LP001106,"Duane Noonan",13.2,94122,Consumer,California
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43064,LP001213,"Jonathan Doherty",13.4,19140,Corporate,Pennsylvania
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43082,LP001266,"Shirley Jackson",13.3,77036,Consumer,Texas
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43096,LP001326,"Logan Currie",13.3,75220,Consumer,Texas
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43103,LP001350,"Joni Blumstein",13.4,43017,Consumer,Ohio
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43104,LP001356,"David Smith",13.3,48227,Corporate,Michigan
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43114,LP001392,"Craig Carreira",13.4,10009,Consumer,"New York"
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43128,LP001449,"Alan Schoenberger",13.4,10024,Corporate,"New York"
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43203,LP001682,"Bradley Nguyen",13.2,90049,Consumer,California
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43285,LP001922,"Darrin Sayre",13.2,98115,"Home Office",Washington
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43306,LP001990,"Mike Caudle",13.2,71203,Corporate,Louisiana
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43323,LP002054,"Linda Southworth",13.4,19140,Corporate,Pennsylvania
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43339,LP002113,"Rob Williams",13.3,75220,Corporate,Texas
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43388,LP002243,"Bill Tyler",13.3,48227,Corporate,Michigan
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43436,LP002393,"Frank Gastineau",13.2,94110,"Home Office",California
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43438,LP002401,"Alejandro Ballentine",13.4,44052,"Home Office",Ohio
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43480,LP002533,"John Dryer",13.3,75019,Consumer,Texas
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43525,LP002697,"Filia McAdams",13.4,43017,Corporate,Ohio
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43551,LP002778,"Michael Dominguez",13.3,46203,Corporate,Indiana
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43552,LP002784,"Duane Benoit",13.4,11572,Consumer,"New York"
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP43606,LP002960,"Elizabeth Moffitt",13.3,57103,Corporate,"South Dakota"
